,수상등급,분야,연도,직위,소속
679,우수상,물리,2015,학생,서울불암초
680,우수상,물리,2015,학생,은석초
681,우수상,물리,2015,학생,서울원촌초
682,우수상,물리,2015,학생,서울오금초
683,특상,물리,2015,학생,서울개운초
684,장려상,물리,2015,학생,서울불암초
685,우수상,물리,2015,학생,한양초
686,우수상,물리,2015,학생,서울신답초
687,특상,물리,2014,학생,한성과학고등학교
688,우수상,물리,2014,학생,서울과학고등학교
689,장려상,물리,2014,학생,배화여자고등학교
690,장려상,환경,2014,학생,상문고등학교
691,우수상,환경,2014,학생,현대고등학교
692,우수상,환경,2014,학생,서울과학고등학교
693,장려상,환경,2014,학생,상계고등학교
694,우수상,환경,2014,학생,한성과학고등학교
695,우수상,환경,2014,학생,진선여자고등학교
696,특상,환경,2014,학생,세종과학고등학교
697,우수상,환경,2014,학생,오륜중학교
698,우수상,환경,2014,학생,명덕여중
699,특상,환경,2014,학생,대원국제중학교
700,장려상,환경,2014,학생,광양중학교
701,장려상,환경,2014,학생,여의도중학교
702,장려상,환경,2014,학생,장평초등학교
703,장려상,환경,2014,학생,서교초등학교
704,장려상,환경,2014,학생,신당초등학교
705,특상,환경,2014,학생,언주초등학교
706,장려상,산업 및 에너지,2014,학생,서울과학고등학교
707,특상,산업 및 에너지,2014,학생,숙명여자고등학교
708,우수상,산업 및 에너지,2014,학생,언남고등학교
709,특상,산업 및 에너지,2014,학생,보인고등학교
710,장려상,산업 및 에너지,2014,학생,상문고등학교
711,우수상,산업 및 에너지,2014,학생,세종과학고등학교
712,장려상,산업 및 에너지,2014,학생,한성과학고등학교
713,우수상,산업 및 에너지,2014,학생,서울과학고등학교
714,우수상,산업 및 에너지,2014,학생,동일여자고등학교
715,장려상,산업 및 에너지,2014,학생,세종과학고등학교
716,장려상,산업 및 에너지,2014,학생,한성과학고등학교
717,우수상,산업 및 에너지,2014,학생,대광중학교
718,장려상,산업 및 에너지,2014,학생,중계중학교
719,장려상,산업 및 에너지,2014,학생,인헌중학교
720,장려상,산업 및 에너지,2014,학생,상계중학교
721,장려상,산업 및 에너지,2014,학생,선린중학교
722,장려상,산업 및 에너지,2014,학생,고명중학교
723,특상,산업 및 에너지,2014,학생,삼각산중학교
724,우수상,산업 및 에너지,2014,학생,"한양중,무학중,동마중"
725,장려상,산업 및 에너지,2014,학생,을지초등학교
726,특상,산업 및 에너지,2014,학생,영도초등학교
727,우수상,산업 및 에너지,2014,학생,경기초등학교
728,장려상,산업 및 에너지,2014,학생,세곡초등학교
729,우수상,농림수산,2014,학생,반포고등학교
730,우수상,농림수산,2014,학생,서울과학고등학교
731,장려상,농림수산,2014,학생,서울과학고등학교
732,장려상,농림수산,2014,학생,한성과학고등학교
733,우수상,농림수산,2014,학생,은광여자고등학교
734,특상,농림수산,2014,학생,세종과학고등학교
735,우수상,농림수산,2014,학생,동대문중학교
736,특상,농림수산,2014,학생,고척중학교
737,장려상,농림수산,2014,학생,성일중학교
738,장려상,지구과학,2014,학생,서울과학고등학교
739,우수상,지구과학,2014,학생,서울과학고등학교
740,장려상,지구과학,2014,학생,한성과학고등학교
741,특상,지구과학,2014,학생,대진고등학교
742,우수상,지구과학,2014,학생,자양고등학교
743,장려상,지구과학,2014,학생,잠신중학교
744,특상,식물,2014,학생,배재고등학교
745,우수상,식물,2014,학생,경기여자고등학교
